IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_11:=:(148.37, 1094.4] THEN class:=:class=0 (conf=0.560, supp=1.000)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStd:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternMean:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_BaseDemand:=:(225.361, 225.511] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ pressure_Node_10_Elevation:=:(29.99, 30.01] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_32_length:=:(156.57, 156.674] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_32_diameter:=:(322.608, 322.824] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_30_length:=:(1903.915, 1905.185] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_30_diameter:=:(438.25, 438.542] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_15:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_16:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_38:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_37:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_36:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_35:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_34:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_33:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_32:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_31:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_30:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_29:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_28:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_27:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_26:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_25:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_24:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_23:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_22:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_21:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_20:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_19:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_18:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_17:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_7:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_6:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_5:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternMean:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_BaseDemand:=:(396.499, 396.763] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_17_length:=:(2002.121, 2003.456] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_17_diameter:=:(481.194, 481.515] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_13_length:=:(853.622, 854.191] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_13_diameter:=:(348.104, 348.336] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_48:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_47:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_46:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_45:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_44:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_43:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_42:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_41:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_40:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_39:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_38:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_37:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_36:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_35:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_34:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStd:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_1:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_22:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_21:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_20:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_19:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_18:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_17:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_16:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_15:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_14:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_13:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_12:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_11:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_10:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_9:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_8:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_7:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_6:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_5:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_4:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_3:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_2:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_33:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_32:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_31:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_7:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_6:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_5:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_4:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_3:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_2:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_1:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStd:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternMean:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_BaseDemand:=:(244.969, 245.132] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_38:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_39:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_40:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_41:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_42:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_43:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_44:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_45:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_46:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_47:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_48:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_8:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_9:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_30:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_29:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_28:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_27:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_26:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_25:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_24:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_23:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_22:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_21:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_20:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_19:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_18:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_17:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_16:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_15:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_14:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_13:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_12:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_11:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_2_PatternStep_10:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_23:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_7_PatternStep_24:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_32:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_31:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_30:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_29:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_28:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_27:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_26:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_25:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_24:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_23:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_22:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_21:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_20:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_19:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_18:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_17:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_16:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_15:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_14:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_13:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_12:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_33:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_34:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_4:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_3:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_2:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_1:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStd:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternMean:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_BaseDemand:=:(122.299, 122.38] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_48:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_47:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_46:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_45:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_44:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_3_PatternStep_43:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
